D_prof,E_act,D_surf,Drain
-0.8,0.8,-0.8,0.0
-1.4,0.6,-1.4,0.0
-2.2,0.8,-2.2,0.0
-2.9000000000000004,0.7,-2.9000000000000004,0.0
-3.7,0.8,-3.7,0.0
-4.5,0.8,-4.5,0.0
-5.4,0.9,-5.4,0.0
-6.2,0.8,-6.2,0.0
-0.30000000000000004,0.8,-0.30000000000000004,0.0
0.0,0.6,0.0,2.1999999999999997
-1.1,1.1,-1.1,0.0
0.0,1.1,0.0,3.2000000000000006
0.0,1.2,0.0,4.2
0.0,0.9,0.0,0.4
0.0,1.5,0.0,2.2
0.0,1.6,0.0,2.8000000000000003
0.0,1.0,0.0,6.9
0.0,2.0,0.0,0.5
-1.2,1.2,-1.2,0.0
-2.4,1.2,-2.4,0.0
-3.7,1.3,-3.7,0.0
-4.4,0.7,-4.4,0.0
-5.5,1.1,-5.5,0.0
-7.0,1.5,-7.0,0.0
-6.4,1.6,-6.4,0.0
-7.9,1.5,-7.9,0.0
0.0,1.8,0.0,11.699999999999998
-1.0,1.0,-1.0,0.0
-2.4,1.4,-2.4,0.0
-1.0999999999999999,1.2,-1.0999999999999999,0.0
0.0,1.1,0.0,3.2000000000000006
-1.8,1.8,-1.8,0.0
-3.1,1.3,-3.1,0.0
0.0,1.0,0.0,1.9999999999999996
0.0,0.7,0.0,5.8
-1.2,1.2,-1.2,0.0
-2.9,1.7,-2.9,0.0
-4.5,1.6,-4.5,0.0
-7.1,2.6,-7.1,0.0
-7.2,2.7,-7.2,0.0
-3.2,2.2,-3.2,0.0
-5.6,2.4,-5.6,0.0
-7.0,1.4,-7.0,0.0
-9.0,2.0,-9.0,0.0
-11.5,2.5,-11.5,0.0
-6.5,2.9,-6.5,0.0
-8.7,2.2,-8.7,0.0
-9.799999999999999,2.3,-9.799999999999999,0.0
-11.1,1.3,-11.1,0.0
-12.1,1.0,-12.1,0.0
-5.199999999999999,2.0,-5.199999999999999,0.0
0.0,2.0,0.0,4.4
-1.8,1.8,-1.8,0.0
-4.2,2.4,-4.2,0.0
-5.7,1.5,-5.7,0.0
-8.5,2.8,-8.5,0.0
-9.7,1.2,-9.7,0.0
-11.7,2.0,-11.7,0.0
-14.6,2.9,-14.6,0.0
-9.299999999999999,1.7,-9.299999999999999,0.0
-11.2,1.9,-11.2,0.0
-13.799999999999999,2.6,-13.799999999999999,0.0
-16.0,2.2,-16.0,0.0
-16.3,2.8,-16.3,0.0
-18.3,2.0,-18.3,0.0
-20.900000000000002,2.6,-20.0,0.0
-23.3,2.4,-20.0,0.0
-25.5,2.2,-20.0,0.0
-29.3,3.8,-20.0,0.0
-32.6,3.3,-20.0,0.0
-17.0,3.0,-4.399999999999999,0.0
-16.2,1.4,-3.5999999999999983,0.0
-18.599999999999998,2.4,-5.999999999999998,0.0
-11.999999999999998,1.8,0.0,0.0
-3.399999999999998,2.9,0.0,0.0
-5.6999999999999975,2.3,-2.3,0.0
-5.899999999999997,2.4,-2.4999999999999996,0.0
-5.9999999999999964,2.1,-2.5999999999999996,0.0
-7.799999999999996,1.8,-4.3999999999999995,0.0
-1.1999999999999957,2.2,0.0,0.0
-4.299999999999995,3.1,-3.1,0.0
-8.899999999999995,4.6,-7.699999999999999,0.0
-11.199999999999996,2.3,-10.0,0.0
-14.999999999999996,3.8,-13.8,0.0
-16.199999999999996,3.1,-15.0,0.0
-17.499999999999996,1.3,-16.3,0.0
-19.999999999999996,2.5,-18.8,0.0
-20.9,4.9,-19.700000000000003,0.0
-24.799999999999997,3.9,-20.0,0.0
-28.4,3.6,-20.0,0.0
-32.8,4.4,-20.0,0.0
-34.699999999999996,1.9,-20.0,0.0
-37.3,2.6,-20.0,0.0
-39.3,2.0,-20.0,0.0
-42.5,3.2,-20.0,0.0
-44.3,1.8,-20.0,0.0
-44.6,2.7,-20.0,0.0
-47.9,3.3,-20.0,0.0
-50.9495,3.0495,-20.0,0.0
-53.5495,2.6,-20.0,0.0
-53.5495,2.6,-20.0,0.0
-49.649499999999996,2.8,-16.1,0.0
-52.3495,2.7,-18.8,0.0
-54.9762975,2.6267975000000003,-20.0,0.0
-57.353549237500005,2.3772517375,-20.0,0.0
-59.504962059937505,2.1514128224375,-20.0,0.0
-61.45199066424344,1.9470286043059373,-20.0,0.0
-61.45199066424344,3.6999999999999993,-20.0,0.0
-63.214051551140315,1.7620608868968732,-20.0,0.0
-64.80871665378199,1.5946651026416703,-20.0,0.0
-66.2518885716727,1.4431719178907114,-20.0,0.0
-67.55795915736378,1.306070585691094,-20.0,0.0
-68.73995303741422,1.1819938800504408,-20.0,0.0
-69.80965749885988,1.0697044614456486,-20.0,0.0
-70.77774003646819,0.9680825376083115,-20.0,0.0
-71.65385473300371,0.876114696535522,-20.0,0.0
-72.44673853336836,0.7928838003646472,-20.0,0.0
-73.16429837269837,0.7175598393300051,-20.0,0.0
-73.81369002729203,0.6493916545936553,-20.0,0.0
-74.40138947469929,0.5876994474072568,-20.0,0.0
-74.93325747460285,0.531867999903568,-20.0,0.0
-75.41459801451558,0.48134053991272907,-20.0,0.0
-75.41459801451558,2.3999999999999986,-20.0,0.0
-75.8502112031366,0.43561318862102016,-20.0,0.0
-76.24444113883862,0.3942299357020236,-20.0,0.0
-76.60121923064895,0.35677809181033027,-20.0,0.0
-76.9241034037373,0.32288417308835005,-20.0,0.0
-77.21631358038226,0.2922101766449554,-20.0,0.0
-77.48076379024594,0.2644502098636856,-20.0,0.0
-77.72009123017259,0.23932743992663585,-20.0,0.0
-77.93668256330619,0.21659133313360446,-20.0,0.0
-78.1326977197921,0.1960151564859114,-20.0,0.0
-78.31009143641185,0.17739371661975056,-20.0,0.0
-78.47063274995273,0.16054131354087442,-20.0,0.0
-77.77063274995272,3.7,-19.3,0.0
-72.37063274995272,2.8,-13.900000000000002,0.0
-77.07063274995272,4.7,-18.6,0.0
-78.47063274995273,1.3999999999999986,-20.0,0.0
-78.47063274995273,1.8000000000000007,-20.0,0.0
-78.61592263870722,0.14528988875449045,-20.0,0.0
-78.61592263870722,1.8999999999999986,-20.0,0.0
-78.61592263870722,1.1999999999999993,-20.0,0.0
-78.74740998803003,0.13148734932281414,-20.0,0.0
-78.86640603916717,0.11899605113714706,-20.0,0.0
-78.97409746544629,0.10769142627911865,-20.0,0.0
-79.0715582062289,0.09746074078260225,-20.0,0.0
-79.15976017663715,0.08820197040825484,-20.0,0.0
-74.45976017663716,4.4,-15.3,0.0
-79.15976017663716,4.699999999999999,-20.0,0.0
-79.23958295985663,0.07982278321946978,-20.0,0.0
-79.31182257867026,0.07223961881361962,-20.0,0.0
-79.37719943369659,0.06537685502632495,-20.0,0.0
-79.43636548749541,0.05916605379882345,-20.0,0.0
-79.48991076618334,0.05354527868793646,-20.0,0.0
-79.53836924339592,0.04845847721258245,-20.0,0.0
-79.5822241652733,0.043854921877387376,-20.0,0.0
-79.62191286957234,0.039688704299036814,-20.0,0.0
-79.65783114696296,0.03591827739062747,-20.0,0.0
-79.69033718800148,0.03250604103851895,-20.0,0.0
-79.71975515514134,0.029417967139859336,-20.0,0.0
-79.74637841540292,0.026623260261573023,-20.0,0.0
-76.64637841540292,1.9,-16.9,0.0
-79.74637841540292,3.1000000000000014,-20.0,0.0
-79.74637841540292,4.699999999999999,-20.0,0.0
-61.44637841540291,3.8,-1.6999999999999984,0.0
-67.4463784154029,6.0,-7.699999999999998,0.0
-72.4463784154029,5.0,-12.7,0.0
-77.34637841540291,4.9,-17.6,0.0
-79.74637841540292,2.3999999999999986,-20.0,0.0
-76.84637841540291,3.3,-17.1,0.0
-79.74637841540292,2.8999999999999986,-20.0,0.0
-79.77047246593963,0.02409405053672309,-20.0,0.0
-79.79227758167536,0.021805115735734404,-20.0,0.0
-79.8120112114162,0.019733629740840364,-20.0,0.0
-79.82987014633167,0.01785893491546009,-20.0,0.0
-79.84603248243016,0.016162336098490826,-20.0,0.0
-78.74603248243017,3.2,-18.9,0.0
-79.84603248243016,1.1000000000000014,-20.0,0.0
-79.86065939659929,0.014626914169134864,-20.0,0.0
